Jean-Pierre Chevènement,H,9 mars 1939,Parti Socialiste,Ministre,quote,"Un ministre, ça ferme sa gueule ou ça démissionne",https://en.wikipedia.org/wiki/Jean-Pierre_Chevènement
Dominique Strauss-Kahn,H,25 avril 1949,Parti Socialiste,Ministre,hint,fréquente les hôtels Sofitel,https://en.wikipedia.org/wiki/Dominique_Strauss-Kahn
François Bayrou,H,25 mai 1951,Union pour la Démocratie Française,Ministre,hint,"Passionné par la littérature, il a écrit plusieurs livres et est un fervent défenseur de la langue française.",https://en.wikipedia.org/wiki/François_Bayrou
Ségolène Royal,F,22 septembre 1953,Parti Socialiste,Ministre,hint,partage des enfants avec François Hollande,https://en.wikipedia.org/wiki/Ségolène_Royal
Jean François Copé,H,5 mai 1964,Les Républicains,Ministre,hint,estime le prix d'un pain au chocolat entre 10 et 15 centimes,https://en.wikipedia.org/wiki/Jean_François_Copé
Najat Vallaud-Belkacem,F,4 octobre 1977,Parti Socialiste,Ministre,hint,"née Marocaine, naturalisée Française ensuite",https://en.wikipedia.org/wiki/Najat_Vallaud-Belkacem
Christiane Taubira,F,2 février 1952,Parti Socialiste,Ministre,quote,"[...] alors si c'était du temps de ma fringante jeunesse, j'aurais supposé un sentiment contrarié.",https://en.wikipedia.org/wiki/Christiane_Taubira
Olivier Véran,H,22 avril 1980,Renaissance,Ministre,hint,est chirurgien,https://en.wikipedia.org/wiki/Olivier_Véran
Gérald Darmanin,H,11 octobre 1982,Renaissance,Ministre,quote,"Calmez vous madame, ça va bien se passer",https://en.wikipedia.org/wiki/Gérald_Darmanin
Marlène Schiappa,F,18 novembre 1982,Renaissance,Ministre,hint,auteur de romances,https://en.wikipedia.org/wiki/Marlène_Schiappa
Éric Dupond-Moretti,H,20 avril 1961,Renaissance,Ministre,hint,Célèbre avocat,https://en.wikipedia.org/wiki/Éric_Dupond-Moretti
Bruno Le Maire,H,15 avril 1969,Renaissance,Ministre,hint,a renversé un cycliste par accident.,https://en.wikipedia.org/wiki/Bruno_Le_Maire
Roselyne Bachelot,F,24 décembre 1946,Les Républicains,Ministre,hint,ancienne pharmacienne. Connue pour avoir été ministre de la Santé,https://en.wikipedia.org/wiki/Roselyne_Bachelot
Rachida Dati,F,27 novembre 1965,Renaissance,Ministre,quote,"On me dit non, je dis oui. on me dit c'est pas possible, je dis ça va le faire",https://en.wikipedia.org/wiki/Rachida_Dati
Amélie Oudéa-Castéra,F,6 janvier 1978,Renaissance,Ministre,quote,"oh djadja, oh djadja",https://en.wikipedia.org/wiki/Amélie_Oudéa-Castéra
Myriam El Khomri,F,22 février 1978,Parti Socialiste,Ministre,hint,donne son nom à une loi réformant le code du travail,https://en.wikipedia.org/wiki/Myriam_El_Khomri
Aurore Bergé,F,13 février 1986,Renaissance,Ministre,hint,porte le nom d'une célèbre étoile,https://en.wikipedia.org/wiki/Aurore_Bergé
Jean-Luc Mélenchon,H,19 août 1951,La France Insoumise,Chef de parti,quote,la république c'est moi ! ,https://en.wikipedia.org/wiki/Jean-Luc_Mélenchon
Marine Le Pen,F,5 août 1968,Rassemblement National,Chef de parti,hint,digne fille de son père,https://en.wikipedia.org/wiki/Marine_Le_Pen
